date,incidence
8/30/2010,1
08/31/2010,0
09/01/2010,0
09/02/2010,0
09/03/2010,0
09/04/2010,0
09/05/2010,0
9/6/2010,3
09/07/2010,0
9/8/2010,1
9/9/2010,1
09/10/2010,0
09/11/2010,0
9/12/2010,2
09/13/2010,0
9/14/2010,1
09/15/2010,0
9/16/2010,2
09/17/2010,0
9/18/2010,1
9/19/2010,6
9/20/2010,4
9/21/2010,6
9/22/2010,2
9/23/2010,4
9/24/2010,5
09/25/2010,0
9/26/2010,4
9/27/2010,2
9/28/2010,1
9/29/2010,9
9/30/2010,4
10/1/2010,5
10/2/2010,9
10/3/2010,5
10/4/2010,2
10/5/2010,3
10/6/2010,8
10/7/2010,8
10/8/2010,6
10/9/2010,5
10/10/2010,7
10/11/2010,4
10/12/2010,0
10/13/2010,4
10/14/2010,2
10/15/2010,8
10/16/2010,9
10/17/2010,7
10/18/2010,6
10/19/2010,7
10/20/2010,10
10/21/2010,11
10/22/2010,7
10/23/2010,7
10/24/2010,5
10/25/2010,5
10/26/2010,6
10/27/2010,6
10/28/2010,6
10/29/2010,3
10/30/2010,4
10/31/2010,4
11/1/2010,9
11/2/2010,9
11/3/2010,9
11/4/2010,4
11/5/2010,7
11/6/2010,7
11/7/2010,7
11/8/2010,4
11/9/2010,1
11/10/2010,5
11/11/2010,15
11/12/2010,8
11/13/2010,8
11/14/2010,2
11/15/2010,5
11/16/2010,4
11/17/2010,3
11/18/2010,2
11/19/2010,5
11/20/2010,1
11/21/2010,2
11/22/2010,1
11/23/2010,2
11/24/2010,3
11/25/2010,4
11/26/2010,2
11/27/2010,0
11/28/2010,1
11/29/2010,2
11/30/2010,0
12/1/2010,2
12/2/2010,1
12/03/2010,0
12/4/2010,2
12/5/2010,1
12/6/2010,1
12/07/2010,0
12/08/2010,0
12/9/2010,1
12/10/2010,1
12/11/2010,0
12/12/2010,1
12/13/2010,0
12/14/2010,0
12/15/2010,1
12/16/2010,0
12/17/2010,0
12/18/2010,3
12/19/2010,1
12/20/2010,0
12/21/2010,0
12/22/2010,0
12/23/2010,0
12/24/2010,1
12/25/2010,0
12/26/2010,0
12/27/2010,0
