date,week,frecuency
1/30/2010,04,8
10/1/2010,39,369
10/10/2010,41,486
10/11/2010,41,387
10/12/2010,41,270
10/13/2010,41,441
10/14/2010,41,297
10/15/2010,41,342
10/16/2010,41,432
10/17/2010,42,387
10/18/2010,42,405
10/19/2010,42,486
10/2/2010,39,279
10/20/2010,42,450
10/21/2010,42,459
10/22/2010,42,441
10/23/2010,42,288
10/24/2010,43,396
10/25/2010,43,306
10/26/2010,43,243
10/27/2010,43,315
10/28/2010,43,315
10/29/2010,43,270
10/3/2010,40,279
10/30/2010,43,315
10/31/2010,44,324
10/4/2010,40,459
10/5/2010,40,288
10/6/2010,40,387
10/7/2010,40,360
10/8/2010,40,342
10/9/2010,40,342
11/1/2010,44,270
11/10/2010,45,567
11/11/2010,45,414
11/12/2010,45,297
11/13/2010,45,396
11/14/2010,46,261
11/15/2010,46,306
11/16/2010,46,216
11/17/2010,46,171
11/18/2010,46,81
11/19/2010,46,207
11/2/2010,44,306
11/20/2010,46,108
11/21/2010,47,153
11/22/2010,47,108
11/23/2010,47,108
11/24/2010,47,81
11/25/2010,47,63
11/26/2010,47,72
11/27/2010,47,72
11/28/2010,48,81
11/29/2010,48,45
11/3/2010,44,261
11/30/2010,48,36
11/4/2010,44,279
11/5/2010,44,396
11/6/2010,44,360
11/7/2010,45,360
11/8/2010,45,441
11/9/2010,45,441
12/1/2010,48,54
12/10/2010,49,36
12/11/2010,49,9
12/12/2010,50,9
12/13/2010,50,27
12/14/2010,50,9
12/15/2010,50,9
12/16/2010,50,18
12/17/2010,50,18
12/18/2010,50,27
12/19/2010,51,18
12/2/2010,48,36
12/20/2010,51,9
12/27/2010,52,9
12/28/2010,52,9
12/3/2010,48,63
12/31/2010,52,18
12/4/2010,48,63
12/5/2010,49,18
12/6/2010,49,45
12/7/2010,49,45
12/8/2010,49,36
12/9/2010,49,18
5/6/2010,18,9
5/9/2010,19,9
7/17/2010,28,18
7/18/2010,29,9
7/22/2010,29,9
7/23/2010,29,9
7/27/2010,30,9
7/29/2010,30,9
7/4/2010,27,9
8/16/2010,33,9
8/18/2010,33,9
8/19/2010,33,9
8/21/2010,33,27
8/8/2010,32,9
9/10/2010,36,18
9/11/2010,36,45
9/12/2010,37,18
9/13/2010,37,9
9/14/2010,37,27
9/15/2010,37,54
9/16/2010,37,9
9/17/2010,37,72
9/18/2010,37,54
9/19/2010,38,81
9/2/2010,35,27
9/20/2010,38,81
9/21/2010,38,99
9/22/2010,38,117
9/23/2010,38,162
9/24/2010,38,162
9/25/2010,38,225
9/26/2010,39,108
9/27/2010,39,72
9/28/2010,39,117
9/29/2010,39,207
9/3/2010,35,27
9/30/2010,39,162
9/4/2010,35,36
9/5/2010,36,36
9/6/2010,36,9
9/7/2010,36,45
9/8/2010,36,18
9/9/2010,36,36
