date,week,frecuency
10/1/2010,39,45
10/10/2010,41,63
10/11/2010,41,36
10/13/2010,41,36
10/14/2010,41,18
10/15/2010,41,72
10/16/2010,41,81
10/17/2010,42,63
10/18/2010,42,54
10/19/2010,42,63
10/2/2010,39,81
10/20/2010,42,90
10/21/2010,42,99
10/22/2010,42,63
10/23/2010,42,63
10/24/2010,43,45
10/25/2010,43,45
10/26/2010,43,54
10/27/2010,43,54
10/28/2010,43,54
10/29/2010,43,27
10/3/2010,40,45
10/30/2010,43,36
10/31/2010,44,36
10/4/2010,40,18
10/5/2010,40,27
10/6/2010,40,72
10/7/2010,40,72
10/8/2010,40,54
10/9/2010,40,45
11/1/2010,44,81
11/10/2010,45,45
11/11/2010,45,135
11/12/2010,45,72
11/13/2010,45,72
11/14/2010,46,18
11/15/2010,46,45
11/16/2010,46,36
11/17/2010,46,27
11/18/2010,46,18
11/19/2010,46,45
11/2/2010,44,81
11/20/2010,46,9
11/21/2010,47,18
11/22/2010,47,9
11/23/2010,47,18
11/24/2010,47,27
11/25/2010,47,36
11/26/2010,47,18
11/28/2010,48,9
11/29/2010,48,18
11/3/2010,44,81
11/4/2010,44,36
11/5/2010,44,63
11/6/2010,44,63
11/7/2010,45,63
11/8/2010,45,36
11/9/2010,45,9
12/1/2010,48,18
12/10/2010,49,9
12/12/2010,50,9
12/15/2010,50,9
12/18/2010,50,27
12/19/2010,51,9
12/2/2010,48,9
12/24/2010,51,9
12/28/2010,52,9
12/31/2010,52,9
12/4/2010,48,18
12/5/2010,49,9
12/6/2010,49,9
12/9/2010,49,9
6/4/2010,22,8
7/25/2010,30,9
7/5/2010,27,9
8/26/2010,34,9
8/30/2010,35,9
9/1/2010,35,9
9/12/2010,37,18
9/14/2010,37,9
9/16/2010,37,18
9/18/2010,37,9
9/19/2010,38,54
9/20/2010,38,36
9/21/2010,38,54
9/22/2010,38,18
9/23/2010,38,36
9/24/2010,38,45
9/26/2010,39,36
9/27/2010,39,18
9/28/2010,39,9
9/29/2010,39,81
9/30/2010,39,36
9/6/2010,36,27
9/8/2010,36,9
9/9/2010,36,9
