date,count,moving_average_7_days
2010-06-04,9,
2010-06-05,0,
2010-06-06,0,
2010-06-07,0,
2010-06-08,0,
2010-06-09,0,
2010-06-10,0,1.2857142857142858
2010-06-11,0,0.0
2010-06-12,0,0.0
2010-06-13,0,0.0
2010-06-14,0,0.0
2010-06-15,0,0.0
2010-06-16,0,0.0
2010-06-17,0,0.0
2010-06-18,0,0.0
2010-06-19,0,0.0
2010-06-20,0,0.0
2010-06-21,0,0.0
2010-06-22,0,0.0
2010-06-23,0,0.0
2010-06-24,0,0.0
2010-06-25,0,0.0
2010-06-26,0,0.0
2010-06-27,0,0.0
2010-06-28,0,0.0
2010-06-29,0,0.0
2010-06-30,0,0.0
2010-07-01,0,0.0
2010-07-02,0,0.0
2010-07-03,0,0.0
2010-07-04,0,0.0
2010-07-05,9,1.2857142857142858
2010-07-06,0,1.2857142857142858
2010-07-07,0,1.2857142857142858
2010-07-08,0,1.2857142857142858
2010-07-09,0,1.2857142857142858
2010-07-10,0,1.2857142857142858
2010-07-11,0,1.2857142857142858
2010-07-12,0,0.0
2010-07-13,0,0.0
2010-07-14,0,0.0
2010-07-15,0,0.0
2010-07-16,0,0.0
2010-07-17,0,0.0
2010-07-18,0,0.0
2010-07-19,0,0.0
2010-07-20,0,0.0
2010-07-21,0,0.0
2010-07-22,0,0.0
2010-07-23,0,0.0
2010-07-24,0,0.0
2010-07-25,9,1.2857142857142858
2010-07-26,0,1.2857142857142858
2010-07-27,0,1.2857142857142858
2010-07-28,0,1.2857142857142858
2010-07-29,0,1.2857142857142858
2010-07-30,0,1.2857142857142858
2010-07-31,0,1.2857142857142858
2010-08-01,0,0.0
2010-08-02,0,0.0
2010-08-03,0,0.0
2010-08-04,0,0.0
2010-08-05,0,0.0
2010-08-06,0,0.0
2010-08-07,0,0.0
2010-08-08,0,0.0
2010-08-09,0,0.0
2010-08-10,0,0.0
2010-08-11,0,0.0
2010-08-12,0,0.0
2010-08-13,0,0.0
2010-08-14,0,0.0
2010-08-15,0,0.0
2010-08-16,0,0.0
2010-08-17,0,0.0
2010-08-18,0,0.0
2010-08-19,0,0.0
2010-08-20,0,0.0
2010-08-21,0,0.0
2010-08-22,0,0.0
2010-08-23,0,0.0
2010-08-24,0,0.0
2010-08-25,0,0.0
2010-08-26,9,1.2857142857142858
2010-08-27,0,1.2857142857142858
2010-08-28,0,1.2857142857142858
2010-08-29,0,1.2857142857142858
2010-08-30,9,2.5714285714285716
2010-08-31,0,2.5714285714285716
2010-09-01,9,3.857142857142857
2010-09-02,0,2.5714285714285716
2010-09-03,0,2.5714285714285716
2010-09-04,0,2.5714285714285716
2010-09-05,0,2.5714285714285716
2010-09-06,27,5.142857142857143
2010-09-07,0,5.142857142857143
2010-09-08,9,5.142857142857143
2010-09-09,9,6.428571428571429
2010-09-10,0,6.428571428571429
2010-09-11,0,6.428571428571429
2010-09-12,18,9.0
2010-09-13,0,5.142857142857143
2010-09-14,9,6.428571428571429
2010-09-15,0,5.142857142857143
2010-09-16,18,6.428571428571429
2010-09-17,0,6.428571428571429
2010-09-18,9,7.714285714285714
2010-09-19,54,12.857142857142858
2010-09-20,36,18.0
2010-09-21,54,24.428571428571427
2010-09-22,18,27.0
2010-09-23,36,29.571428571428573
2010-09-24,45,36.0
2010-09-25,0,34.714285714285715
2010-09-26,36,32.142857142857146
2010-09-27,18,29.571428571428573
2010-09-28,9,23.142857142857142
2010-09-29,81,32.142857142857146
2010-09-30,36,32.142857142857146
2010-10-01,45,32.142857142857146
2010-10-02,81,43.714285714285715
2010-10-03,45,45.0
2010-10-04,18,45.0
2010-10-05,27,47.57142857142857
2010-10-06,72,46.285714285714285
2010-10-07,72,51.42857142857143
2010-10-08,54,52.714285714285715
2010-10-09,45,47.57142857142857
2010-10-10,63,50.142857142857146
2010-10-11,36,52.714285714285715
2010-10-12,0,48.857142857142854
2010-10-13,36,43.714285714285715
2010-10-14,18,36.0
2010-10-15,72,38.57142857142857
2010-10-16,81,43.714285714285715
2010-10-17,63,43.714285714285715
2010-10-18,54,46.285714285714285
2010-10-19,63,55.285714285714285
2010-10-20,90,63.0
2010-10-21,99,74.57142857142857
2010-10-22,63,73.28571428571429
2010-10-23,63,70.71428571428571
2010-10-24,45,68.14285714285714
2010-10-25,45,66.85714285714286
2010-10-26,54,65.57142857142857
2010-10-27,54,60.42857142857143
2010-10-28,54,54.0
2010-10-29,27,48.857142857142854
2010-10-30,36,45.0
2010-10-31,36,43.714285714285715
2010-11-01,81,48.857142857142854
2010-11-02,81,52.714285714285715
2010-11-03,81,56.57142857142857
2010-11-04,36,54.0
2010-11-05,63,59.142857142857146
2010-11-06,63,63.0
2010-11-07,63,66.85714285714286
2010-11-08,36,60.42857142857143
2010-11-09,9,50.142857142857146
2010-11-10,45,45.0
2010-11-11,135,59.142857142857146
2010-11-12,72,60.42857142857143
2010-11-13,72,61.714285714285715
2010-11-14,18,55.285714285714285
2010-11-15,45,56.57142857142857
2010-11-16,36,60.42857142857143
2010-11-17,27,57.857142857142854
2010-11-18,18,41.142857142857146
2010-11-19,45,37.285714285714285
2010-11-20,9,28.285714285714285
2010-11-21,18,28.285714285714285
2010-11-22,9,23.142857142857142
2010-11-23,18,20.571428571428573
2010-11-24,27,20.571428571428573
2010-11-25,36,23.142857142857142
2010-11-26,18,19.285714285714285
2010-11-27,0,18.0
2010-11-28,9,16.714285714285715
2010-11-29,18,18.0
2010-11-30,0,15.428571428571429
2010-12-01,18,14.142857142857142
2010-12-02,9,10.285714285714286
2010-12-03,0,7.714285714285714
2010-12-04,18,10.285714285714286
2010-12-05,9,10.285714285714286
2010-12-06,9,9.0
2010-12-07,0,9.0
2010-12-08,0,6.428571428571429
2010-12-09,9,6.428571428571429
2010-12-10,9,7.714285714285714
2010-12-11,0,5.142857142857143
2010-12-12,9,5.142857142857143
2010-12-13,0,3.857142857142857
2010-12-14,0,3.857142857142857
2010-12-15,9,5.142857142857143
2010-12-16,0,3.857142857142857
2010-12-17,0,2.5714285714285716
2010-12-18,27,6.428571428571429
2010-12-19,9,6.428571428571429
2010-12-20,0,6.428571428571429
2010-12-21,0,6.428571428571429
2010-12-22,0,5.142857142857143
2010-12-23,0,5.142857142857143
2010-12-24,9,6.428571428571429
2010-12-25,0,2.5714285714285716
2010-12-26,0,1.2857142857142858
2010-12-27,0,1.2857142857142858
2010-12-28,9,2.5714285714285716
2010-12-29,0,2.5714285714285716
2010-12-30,0,2.5714285714285716
2010-12-31,9,2.5714285714285716
