week,count,moving_average_3_weeks
2010-01-25,9,
2010-02-01,0,
2010-02-08,0,3.0
2010-02-15,0,0.0
2010-02-22,0,0.0
2010-03-01,0,0.0
2010-03-08,0,0.0
2010-03-15,0,0.0
2010-03-22,0,0.0
2010-03-29,0,0.0
2010-04-05,0,0.0
2010-04-12,0,0.0
2010-04-19,0,0.0
2010-04-26,0,0.0
2010-05-03,18,6.0
2010-05-10,0,6.0
2010-05-17,0,6.0
2010-05-24,0,0.0
2010-05-31,0,0.0
2010-06-07,0,0.0
2010-06-14,0,0.0
2010-06-21,0,0.0
2010-06-28,9,3.0
2010-07-05,0,3.0
2010-07-12,27,12.0
2010-07-19,18,15.0
2010-07-26,18,21.0
2010-08-02,9,15.0
2010-08-09,0,9.0
2010-08-16,54,21.0
2010-08-23,0,18.0
2010-08-30,126,60.0
2010-09-06,189,105.0
2010-09-13,306,207.0
2010-09-20,954,483.0
2010-09-27,1485,915.0
2010-10-04,2664,1701.0
2010-10-11,2556,2235.0
2010-10-18,2925,2715.0
2010-10-25,2088,2523.0
2010-11-01,2232,2415.0
2010-11-08,2817,2379.0
2010-11-15,1242,2097.0
2010-11-22,585,1548.0
2010-11-29,315,714.0
2010-12-06,198,366.0
2010-12-13,126,213.0
2010-12-20,9,111.0
2010-12-27,36,57.0
