week,count,moving_average_3_weeks
2010-05-31,9,
2010-06-07,0,
2010-06-14,0,3.0
2010-06-21,0,0.0
2010-06-28,0,0.0
2010-07-05,9,3.0
2010-07-12,0,3.0
2010-07-19,9,6.0
2010-07-26,0,3.0
2010-08-02,0,3.0
2010-08-09,0,0.0
2010-08-16,0,0.0
2010-08-23,9,3.0
2010-08-30,18,9.0
2010-09-06,63,30.0
2010-09-13,90,57.0
2010-09-20,225,126.0
2010-09-27,315,210.0
2010-10-04,351,297.0
2010-10-11,306,324.0
2010-10-18,477,378.0
2010-10-25,306,363.0
2010-11-01,468,417.0
2010-11-08,387,387.0
2010-11-15,198,351.0
2010-11-22,117,234.0
2010-11-29,72,129.0
2010-12-06,36,75.0
2010-12-13,45,51.0
2010-12-20,9,30.0
2010-12-27,18,24.0
